単語,観点,関連語
気候変動,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気温,  温室効果ガス,  化石燃料,  森林伐採,  海面上昇,  気候変動,  大気汚染,  破壊的開発,  過剰消費,  土地利用変化"
気候変動,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"気温上昇,  化石燃料,  海面上昇,  温室効果ガス,  森林伐採,  水資源,  異常気象,  再生可能エネルギー,  持続可能な開発,  経済影響"
気候変動,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  影響,  事柄,  事象,  現象,  自然,  生物,  社会活動,  産業,  物質,  天候"
気候変動,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"気候変動,  温室効果ガス,  再生可能エネルギー,  持続可能性,  バイオ燃料,  森林保護,  カーボンオフセット,  持続可能な開発,  気候変動適応策,  温暖化"
地球温暖化,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"地球温暖化, 排出, 二酸化炭素, 森林伐採, 化石燃料, 大気汚染, 過剰消費, 海面上昇, 極端気候, 再生可能energies."
地球温暖化,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"気候変動,  温室効果ガス,  森林伐採,  氷河,  海面上昇,  水資源,  持続可能性,  環境保護,  再生可能エネルギー,  持続可能な開発"
地球温暖化,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"地球温暖化,  気候変動,  湿度,  森林伐採,  海面上昇,  異常気象,  二酸化炭素排出,  氷河の融解,  生態系の変化,  熱波"
地球温暖化,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"地球温暖化,  CO2排出,  森林保護,  再生可能エネルギー,  持続可能性,  パリ協定,  グリーンテクノロジー,  環境保護,  カーボンオフセット,  プラスチック削減"
異常気象,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"異常気象, 気候変動, 温室効果ガス, 森林破壊, 海洋汚染, 都市化, 工業活動, 排気ガス, 二酸化炭素, 極端気象"
異常気象,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"気候変動,  暴風雨,  干ばつ,  洪水,  熱波,  降雪,  台風,  地球温暖化,  雹,  雷雨"
異常気象,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"異常気象の影響, 事柄,  事象,  現象,  自然,  生物,  社会活動,  産業,  物質,  天候, 洪水,  干ばつ,  雹,  嵐,  温暖化,  降雪,  土砂崩れ,  雷,  高温,  強風"
異常気象,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"気候変動,  温暖化,  気象災害,  持続可能性,  再生可能エネルギー,  防災対策,  リサイクル,  カーボンオフセット,  海面上昇,  森林保護"
温室効果ガス,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"温室効果ガス, 気候変動, 化石燃料, 森林伐採, 排出量, 地球温暖化, 再生可能エネルギー, 二酸化炭素, メタン, 排気ガス"
温室効果ガス,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"温室効果ガス,  地球温暖化,  化石燃料,  森林伐採,  再生可能エネルギー,  カーボンニュートラル,  持続可能性,  パリ協定,  気候変動,  環境保護"
温室効果ガス,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"温室効果ガス, 気候変動, 二酸化炭素, メタン, ナイトロゲン酸化物, 森林破壊, 海面上昇, 極端な天候, 持続可能性, 再生可能エネルギー"
温室効果ガス,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"温室効果ガス,  地球温暖化,  再生可能エネルギー,  カーボンオフセット,  持続可能性,  森林保護,  グリーンテクノロジー,  エコロジカルフットプリント,  パリ協定,  環境保護"
二酸化炭素,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  化石燃料,  森林伐採,  工業活動,  自動車排ガス,  地球温暖化,  エネルギー消費,  海洋酸性化,  温室効果ガス,  大気汚染"
二酸化炭素,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"環境,  温室効果ガス,  地球温暖化,  大気,  森林,  廃棄物,  エネルギー,  自然災害,  持続可能性,  気候変動"
